"Symbol","ISIN","Issue Price","Maturity Date","Years To Maturity","Interest Date 1","Interest Date 2","Interest Payable","Interest Value","No of Remaining Interest Payments","Total Remaining Interest","Present Value of Future Interest Payments","Fair Value","Ask Price","Average Trading Volume","Discount to Fair Value","Discount to Gold Price","Total Yield to Maturity"
"SGBMAR25","IN0020160126",2943,"3/17/2025",1.9852735691273464,"March17","September17",2.5,36.7875,4,147.15,136.74275749338665,6000.742757493386,5798,6.117142857142858,0.03378627708048519,0.011255115961800819,0.018351788765210486
"SGBJUN27","IN0020190073",3196,"6/11/2027",4.220889997970573,"June11","December11",2.5,39.95,8,319.6,280.43670297194257,6144.436702971942,5520,3.4271428571428575,0.10162635456394477,0.058663028649386086,0.02726040436477728
"SGBMAR30X","IN0020210319",5109,"3/8/2030",6.963355748224251,"March8","September8",2.5,63.8625,14,894.075,721.395470863615,6585.395470863615,5545,8.701428571428574,0.15798526838163848,0.054399727148703954,0.02881926416663494
"SGBOCT25","IN0020170059",2956,"10/16/2025",2.568835197139777,"October16","April16",2.5,36.95,6,221.7,200.16522385129923,6064.165223851299,5801,1.6285714285714286,0.0433967766604098,0.010743519781718964,0.018826053982725854
"SGBOCT25V","IN0020170075",2971,"10/30/2025",2.607191212804414,"October30","April30",2.5,37.1375,6,222.825,201.1809472470264,6065.180947247027,6093,0.04857142857142858,-0.004586681418894886,-0.039051841746248296,-0.000388837922345342
"SGBDEC2512","IN0020170141",2890,"12/18/2025",2.7414379102612885,"December18","June18",2.5,36.125,6,216.75,195.69604091009973,6059.696040910099,5949.99,0.21285714285714286,0.01810421515690792,-0.014664051841746212,0.007961122064126025
"SGBAUG27","IN0020190107",3499,"8/14/2027",4.39623246039447,"August14","February14",2.5,43.7375,8,349.9,307.0237871398082,6171.0237871398085,5550,4.07,0.10063545508186174,0.05354706684856753,0.026034869899799862
"SGBJUN28","IN0020200104",4677,"6/16/2028",5.237328318017504,"June16","December16",2.5,58.4625,10,584.625,498.69698334500725,6362.6969833450075,5432,22.425714285714285,0.1462739756083308,0.07366984993178717,0.033299491119867186
"SGBJAN29X","IN0020200385",5104,"1/19/2029",5.831848716007103,"January19","July19",2.5,63.8,12,765.6,635.0654547896112,6499.065454789611,5443.5,7.26142857142857,0.16241803719820852,0.0717087312414734,0.034378729934580354
"SGBFEB29XI","IN0020200393",4912,"2/9/2029",5.8893831158041605,"February9","August9",2.5,61.4,12,736.8,611.1758452050491,6475.175845205049,5454,8.807142857142859,0.1577062723263713,0.06991814461118691,0.03293507723602551
"SGBNOV23","IN0020150085",2684,"11/30/2023",0.6893831611491629,"November30","May30",2.75,36.905,2,73.81,70.61659911395986,5934.61659911396,5840,6.154285714285714,0.0159431696275183,0.004092769440654843,0.024385987254091246
"SGBAUG24","IN0020160027",3119,"8/5/2024",1.3715749294774227,"August5","February5",2.75,42.88625,2,85.7725,82.06153973041758,5946.061539730417,5800,11.69142857142857,0.024564417767031624,0.010914051841746248,0.018762003987503162
"SGBFEB24","IN0020150101",2600,"2/8/2024",0.8811639766615931,"February8","August8",2.75,35.75,2,71.5,68.4065416156094,5932.406541615609,5849,10.64857142857143,0.014059478397260083,0.002557980900409277,0.016799981191266466
